,0,1,class
CN1C(=CC=CC=CC=Cc2sc3ccccc3[n+]2C)C(C)(C)c2cc(Cl)ccc21,12.131968,-1.9669945,5
Cc1ccc2c(c1)C(C)(C)C(=CC=CC=CC=Cc1sc3ccccc3[n+]1C)N2C,11.810015,-1.6355904,5
CN1C(=CC=CC=CC=Cc2sc3ccccc3[n+]2C)C(C)(C)c2cc(F)ccc21,11.619648,-1.9740955,5
COc1ccc2c(c1)C(C)(C)C(=CC=CC=CC=Cc1sc3ccccc3[n+]1C)N2C,11.895218,-2.367232,5
CN1C(=CC=CC=CC=Cc2sc3ccccc3[n+]2C)C(C)(C)c2ccccc21,11.792799,-1.3327376,5
CN1C(=CC=CC=CC=CC2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,13.915922,-1.0015101,6
CN1C(=CC=CC=CC=CC2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,14.119202,-0.8695983,6
CN1C(=CC=CC=CC=CC2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,13.672075,-0.73659617,6
CN1C(=CC=CC=CC=CC2=[N+](C)c3ccc(F)cc3C2(C)C)C(C)(C)c2cc(F)ccc21,13.915558,-2.131685,6
CN1C(=CC=CC=CC=CC2=[N+](C)c3ccc(Cl)cc3C2(C)C)C(C)(C)c2cc(Cl)ccc21,14.377751,-2.2944655,6
Cc1ccc2c(c1)C(C)(C)C(=CC=CC=CC=CC1=[N+](C)c3ccc(C)cc3C1(C)C)N2C,14.362143,-2.005492,6
COc1ccc2c(c1)C(C)(C)C(=CC=CC=CC=CC1=[N+](C)c3ccc(OC)cc3C1(C)C)N2C,13.883999,-2.65036,6
CN1C(=CC=CC(Cl)=CC=CC2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,15.340907,-0.44653472,6
CN1C(=CC=CC(Br)=CC=CC2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,15.334095,-0.11013257,6
CN1C(=CC=CC(I)=CC=CC2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,14.616074,0.4408096,6
CN1C(=CC=CC(I)=CC=CC2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,14.17466,0.32537907,6
CCN1C(=CC=CC=CC=Cc2sc3ccccc3[n+]2CC)Sc2ccccc21,8.903019,-1.800038,5
CCN1C(=CC=CC=CC=Cc2oc3ccccc3[n+]2CC)Oc2ccccc21,8.010079,-2.248508,5
CN1C(=CC=CC(C=CC=C2N(C)c3ccccc3C2(C)C)=CC=CC2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,14.880402,-0.021202557,6
COC(CC(C=CC=C1N(C)c2ccccc2C1(C)C)=CC=CC1=[N+](C)c2ccccc2C1(C)C)OC,15.566823,0.64492863,6
